"nome","sobrenome","cpf","email","city","state","marca","preco","quantidade"
"MARCELO""DUARTE","29687379920","nobuhiro.duarte464912@gmail.com","GUARULHOS","SP","FIAT","52500","1"
"EZO","JONIVAL","62333571370","ezo.jonival078868@gmail.com","EMBU DAS ARTES","SP","VOLKSWAGEN","44985","1"
"LAURALICE","ARECI","34879428220","lauralice.areci045580@gmail.com","SÃO PAULO","SP","FIAT","52500","1"
"ADEIS","DUARTE","22343560712","adeis.duarte570906@gmail.com","CURITIBA","PR","FORD","35850","1"
"NEIDILSON","DUARTE","74636598474","neidilson.duarte131860@gmail.com","CARAPICUÍBA","SP","CHEVROLET","60000","1"
"LAUDISEIA","DUARTE","83752241026","laudiseia.duarte407762@gmail.com","SUZANO","SP","FORD","35850","1"
"NOECIR","GUMERCINA","38545029540","noecir.gumercina510406@gmail.com","ITAQUAQUECETUBA","SP","FORD","27000","1"
"JONIELI","LAURICIO","27877551366","jonieli.lauricio760422@gmail.com","SÃO PAULO","SP","PEUGEOT","47850","1"
"JENEROSO","ADEILDO","17507383282","jeneroso.adeildo948048@gmail.com","JARDINÓPOLIS","SP","CHEVROLET","49350","1"
"IYAN","DUARTE","11449959162","iyan.duarte310460@gmail.com","RIBEIRÃO DAS NEVES","MG","VOLKSWAGEN","51000","1"

